bulgarian	bulgarian	chinese	chinese	croatian	croatian	czech	czech	dutch	dutch	english	english	french	french	german	german	hungarian	hungarian	italian	italian	japanese	japanese	greek	greek	polish	polish	portuguese	portuguese	romanian	romanian	russian	russian	serbian	serbian	spanish	spanish	turkish	turkish	ukrainian	ukrainian	vietnamese	vietnamese
text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table	text	table
0.092	49.69	0.053	0.00	0.079	25.56	0.186	40.99	0.266	0.00	0.125	5.01	0.125	11.36	0.053	0.00	0.015	26.75	0.037	33.32	0.242	0.00	0.025	0.00	0.130	19.04	0.160	48.85	0.174	15.34	0.097	56.55	0.081	0.00	0.107	9.18	0.088	65.34	0.122	41.98	0.109	37.96
